584,7,,,,,,
Team1,Team2,Venue,Home Team,Start Time,Toss winner,Toss winner's decision,Match Winner
Chennai Super Kings,Kings XI Punjab,"MA Chidambaram Stadium, Chepauk",Team 1,8pm,Chennai Super Kings,field,Kings XI Punjab
Mumbai Indians,Kolkata Knight Riders,Brabourne Stadium,Team 1,8pm,Kolkata Knight Riders,bat,Mumbai Indians
Royal Challengers Bangalore,Chennai Super Kings,M Chinnaswamy Stadium,Team 1,8pm,Chennai Super Kings,field,Royal Challengers Bangalore
Kings XI Punjab,Rajasthan Royals,"Punjab Cricket Association Stadium, Mohali",Team 1,8pm,Kings XI Punjab,field,Rajasthan Royals
Royal Challengers Bangalore,Delhi Daredevils,M Chinnaswamy Stadium,Team 1,4pm,Royal Challengers Bangalore,field,Delhi Daredevils
Mumbai Indians,Chennai Super Kings,Brabourne Stadium,Team 1,8pm,Mumbai Indians,field,Mumbai Indians
Rajasthan Royals,Deccan Chargers,"Sardar Patel Stadium, Motera",Team 1,8pm,Deccan Chargers,bat,Rajasthan Royals
Kings XI Punjab,Kolkata Knight Riders,"Punjab Cricket Association Stadium, Mohali",Team 1,8pm,Kolkata Knight Riders,bat,Kolkata Knight Riders
Rajasthan Royals,Chennai Super Kings,"Sardar Patel Stadium, Motera",Team 1,4pm,Rajasthan Royals,bat,Rajasthan Royals
Deccan Chargers,Mumbai Indians,Dr DY Patil Sports Academy,Team 1,8pm,Deccan Chargers,field,Mumbai Indians
Delhi Daredevils,Kolkata Knight Riders,Feroz Shah Kotla,Team 1,8pm,Delhi Daredevils,bat,Delhi Daredevils
Mumbai Indians,Kings XI Punjab,Brabourne Stadium,Team 1,8pm,Mumbai Indians,field,Mumbai Indians
Chennai Super Kings,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chepauk",Team 1,4pm,Royal Challengers Bangalore,bat,Chennai Super Kings
Delhi Daredevils,Rajasthan Royals,Feroz Shah Kotla,Team 1,8pm,Delhi Daredevils,bat,Delhi Daredevils
Kolkata Knight Riders,Deccan Chargers,Eden Gardens,Team 1,8pm,Kolkata Knight Riders,bat,Kolkata Knight Riders
