Team Name,Player Name,Role,Matches Played,Batting Average,Batting Strike Rate,Bowling Average,Bowling Economy,Bowling Strike Rate
Kolkata Knight Riders,Average,,,16.89055556,111.4321053,32.23066667,7.924117647,23.758
,,,,,,,,
Rising Pune Supergiants,MS Dhoni,Batsman,143,39.4,138.95,0,0,0
Rising Pune Supergiants,Ankit Sharma,Allrounder,20,10.33,119.23,35.25,7.14,29.58
Rising Pune Supergiants,Ravichandran Ashwin,Allrounder,111,10.5,96.25,25,6.55,22.9
Rising Pune Supergiants,Murugan Ashwin,Bowler,10,0,0,34.42,8.45,24.42
Rising Pune Supergiants,Rajat Bhatia,Allrounder,92,11.24,122.09,28.47,7.39,23.1
Rising Pune Supergiants,Scott Boland,Bowler,2,0,0,27,7.71,21
Rising Pune Supergiants,Deepak Chahar,Bowler,2,0,0,0,8.2,0
Rising Pune Supergiants,Ashok Dinda,Bowler,75,2.11,46.34,29.13,8.07,21.64
Rising Pune Supergiants,Francois du Plessis,Batsman,51,30.64,128.05,0,16,0
Rising Pune Supergiants,Peter Handscomb,Batsman,2,6,50,0,0,0
Rising Pune Supergiants,Jaskaran Singh,Bowler,8,8,72.72,28.5,10.05,17
Rising Pune Supergiants,Mitchell Marsh,Allrounder,20,18.75,114.79,20.7,7.88,15.75
Rising Pune Supergiants,Albie Morkel,Allrounder,91,24.35,141.98,27.75,8.21,20.27
Rising Pune Supergiants,Ishwar Pandey,Bowler,25,0,0,32.83,7.67,25.66
Rising Pune Supergiants,Irfan Pathan,Allrounder,102,21.86,120.57,32.78,7.74,25.38
Rising Pune Supergiants,Thisara Perera,Allrounder,37,19.18,137.45,32.77,8.73,22.51
Rising Pune Supergiants,Kevin Pietersen,Batsman,36,37.07,134.72,30.71,7.41,24.85
Rising Pune Supergiants,Ajinkya Rahane,Batsman,95,35.19,120.93,5,5,6
Rising Pune Supergiants,Ishant Sharma,Bowler,70,9.25,80.43,34.77,8.05,25.91
Rising Pune Supergiants,RP Singh,Bowler,82,3.46,68.42,25.97,7.9,19.72
Rising Pune Supergiants,Steve Smith,Batsman,54,36.2,135.87,0,15,0
Rising Pune Supergiants,Saurabh Tiwary,Batsman,80,27.81,119.53,0,0,0
Rising Pune Supergiants,Adam Zampa,Bowler,5,0,0,9.58,6.76,8.5
Rising Pune Supergiants,Usman Khawaja,Batsman,6,21.16,127,0,0,0
Rising Pune Supergiants,George Bailey,Batsman,40,24.55,121.87,0,0,0
